1,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES
2,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL
3,01M450,EAST SIDE COMMUNITY SCHOOL
4,01M458,FORSYTH SATELLITE ACADEMY
5,01M509,MARTA VALLE HIGH SCHOOL
6,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL
7,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL"
8,01M650,CASCADES HIGH SCHOOL
9,01M696,BARD HIGH SCHOOL EARLY COLLEGE
10,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL
11,02M288,FOOD AND FINANCE HIGH SCHOOL
12,02M294,ESSEX STREET ACADEMY
13,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT
14,02M298,PACE HIGH SCHOOL
15,02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE"
16,02M303,"FACING HISTORY SCHOOL, THE"
17,02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE"
18,02M308,LOWER MANHATTAN ARTS ACADEMY
19,02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING"
20,02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE"
21,02M374,GRAMERCY ARTS HIGH SCHOOL
22,02M376,NYC ISCHOOL
23,02M392,MANHATTAN BUSINESS ACADEMY
24,02M393,BUSINESS OF SPORTS SCHOOL
25,02M394,EMMA LAZARUS HIGH SCHOOL
26,02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY
27,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES
28,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION
29,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL
30,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL
31,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES
32,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL
33,02M414,N.Y.C. MUSEUM SCHOOL
34,02M416,ELEANOR ROOSEVELT HIGH SCHOOL
35,02M418,MILLENNIUM HIGH SCHOOL
36,02M419,LANDMARK HIGH SCHOOL
37,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES
38,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL
39,02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE
40,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES
41,02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES
42,02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE
43,02M439,MANHATTAN VILLAGE ACADEMY
44,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX
45,02M449,VANGUARD HIGH SCHOOL
46,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL
47,02M460,WASHINGTON IRVING HIGH SCHOOL
48,02M473,WASHINGTON IRVING YABC
49,02M475,STUYVESANT HIGH SCHOOL
50,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE
51,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES
52,02M519,TALENT UNLIMITED HIGH SCHOOL
53,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS
54,02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL
55,02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS
56,02M542,MANHATTAN BRIDGES HIGH SCHOOL
57,02M543,NEW DESIGN HIGH SCHOOL
58,02M544,INDEPENDENCE HIGH SCHOOL
59,02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES
60,02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS
61,02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL
62,02M560,HIGH SCHOOL M560 s CITY AS SCHOOL
63,02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL
64,02M570,SATELLITE ACADEMY HIGH SCHOOL
